cell_id,zone_id,susceptibility_probability
3264,MEL_Z01,0.0375109725188106
3265,MEL_Z01,0.007621841141186215
3266,MEL_Z01,0.04235242808122681
3267,MEL_Z01,0.03130245305625178
3268,MEL_Z01,0.0057701317394768135
3269,MEL_Z01,0.04128149616368229
3270,MEL_Z01,0.240173901764323
3271,MEL_Z01,0.1690907710736739
3285,MEL_Z11,0.011316892699215781
3286,MEL_Z11,0.020052506573647842
3287,MEL_Z11,0.09407931416680909
3288,MEL_Z11,0.10400352147779333
3289,MEL_Z11,0.07949756726773145
3290,MEL_Z11,0.04934990791285561
3291,MEL_Z11,0.04606307090148166
3292,MEL_Z11,0.058796880453839594
3293,MEL_Z11,0.07810490551928204
3294,MEL_Z11,0.10763082237462074
3295,MEL_Z10,0.20541266664036184
3296,MEL_Z10,0.2780275711087964
3297,MEL_Z10,0.10676551479754282
3298,MEL_Z10,0.21075082620298008
3299,MEL_Z10,0.012828300066119258
3300,MEL_Z10,0.15527217840465862
3301,MEL_Z10,0.007448855062746491
3302,MEL_Z10,0.05933673481201398
3303,MEL_Z10,0.0959675062982849
3304,MEL_Z10,0.00981119582446189
3305,MEL_Z10,0.05565186541262949
3306,MEL_Z10,0.015885385334931185
3307,MEL_Z10,0.009762146530921978
3308,MEL_Z10,0.04131120952257948
3309,MEL_Z10,0.8173537033685045
3310,MEL_Z10,0.7026241550883245
3311,MEL_Z10,0.008638758946188508
3312,MEL_Z10,0.014184700977308963
3313,MEL_Z09,0.007042644556716472
3314,MEL_Z09,0.06639205438848579
3315,MEL_Z09,0.011010097236401301
3316,MEL_Z09,0.1104398291066098
3317,MEL_Z09,0.036035899765944596
3318,MEL_Z09,0.002237861125667867
3319,MEL_Z09,0.002133795941574365
3320,MEL_Z09,0.034045510600233246
3321,MEL_Z09,0.038592120263760306
3322,MEL_Z09,0.03344337926652968
3323,MEL_Z09,0.02756030960261461
3324,MEL_Z09,0.10845948232881589
3325,MEL_Z09,0.02145888182105322
3326,MEL_Z09,0.00673909885287771
3327,MEL_Z07,0.045960798856707605
3328,MEL_Z07,0.029032776674586203
3329,MEL_Z07,0.02241807179819317
3330,MEL_Z07,0.043153219845060285
3331,MEL_Z07,0.7027571231446234
3332,MEL_Z07,0.3091060070265467
3333,MEL_Z07,0.15474517443182353
3334,MEL_Z07,0.02658609216542955
3335,MEL_Z07,0.07735681359730093
3336,MEL_Z07,0.10830800289817155
3337,MEL_Z07,0.1111419391225906
3338,MEL_Z07,0.029278992652959024
3339,MEL_Z07,0.015126031330073581
3340,MEL_Z07,0.00338441408158177
3341,MEL_Z07,0.0019204134464190928
3342,MEL_Z07,0.07651992336212997
3343,MEL_Z07,0.07371712246891864
3344,MEL_Z07,0.028421916507620635
3345,MEL_Z07,0.005040299478002381
3346,MEL_Z07,0.006817111967066716
3347,MEL_Z07,0.0035287668775968923
3348,MEL_Z06,0.001180930954416467
3349,MEL_Z06,0.004643815402657492
3350,MEL_Z06,0.002239097670862479
3351,MEL_Z06,0.036670143037545525
3352,MEL_Z06,0.11655859430412908
3353,MEL_Z06,0.19183468951625826
3354,MEL_Z06,0.6763127445647267
3355,MEL_Z06,0.2722155090632705
3356,MEL_Z06,0.3990412922804685
3357,MEL_Z06,0.17567777744752222
3358,MEL_Z06,0.040961518440110894
3359,MEL_Z06,0.017264873648409538
3360,MEL_Z06,0.056910522890826515
3361,MEL_Z05,0.23957986432938402
3362,MEL_Z05,0.10241108100990859
3363,MEL_Z05,0.09418758735342982
3364,MEL_Z05,0.04286555780474727
3365,MEL_Z05,0.09670006910267812
3366,MEL_Z05,0.5224485836750874
3367,MEL_Z05,0.1400607877662188
3368,MEL_Z05,0.06757555218183131
3369,MEL_Z05,0.04643613000999715
3370,MEL_Z05,0.19401210663258847
3371,MEL_Z05,0.1850361976750323
3372,MEL_Z05,0.36964676721757234
3373,MEL_Z05,0.15587927381101235
3374,MEL_Z05,0.20851203104812674
3375,MEL_Z04,0.34403612326901767
3376,MEL_Z04,0.6370451631125731
3377,MEL_Z04,0.14756072333333367
3378,MEL_Z04,0.5127102924846152
3379,MEL_Z04,0.11379407985496666
3380,MEL_Z04,0.3274507792896041
3381,MEL_Z04,0.7338758197050214
3382,MEL_Z04,0.035735797750848605
3383,MEL_Z04,0.04676886174253904
3384,MEL_Z04,0.09803853770809051
3385,MEL_Z04,0.15789301091120314
3386,MEL_Z04,0.20535352246571603
3387,MEL_Z04,0.19289619509077313
3388,MEL_Z04,0.34030615836374667
3389,MEL_Z04,0.31075973134360846
3390,MEL_Z04,0.27914176985641737
3391,MEL_Z04,0.4285516077824991
3392,MEL_Z04,0.4723279169124327
3393,MEL_Z03,0.7074113234630333
3394,MEL_Z03,0.3961789217078064
3395,MEL_Z03,0.8633556811809157
3396,MEL_Z03,0.8910561553808847
3397,MEL_Z03,0.9417624367267883
3398,MEL_Z03,0.9337672257624952
3399,MEL_Z03,0.9498854095923405
3400,MEL_Z03,0.5224510126826489
3401,MEL_Z03,0.6821951059013686
3402,MEL_Z03,0.7649318017228572
3403,MEL_Z03,0.9331032840190217
3404,MEL_Z01,0.8270905471764884
3405,MEL_Z01,0.1693010313324288
3406,MEL_Z01,0.6422563456500047
3407,MEL_Z01,0.6267954396860427
3408,MEL_Z01,0.19925156439277952
3409,MEL_Z01,0.09011502264283366
3410,MEL_Z01,0.019506035631035635
3411,MEL_Z01,0.021996672157683913
3412,MEL_Z01,0.015043998264017238
3413,MEL_Z01,0.012506168831168828
3414,MEL_Z01,0.1430458816381722
3415,MEL_Z01,0.23111703887533305
3416,MEL_Z01,0.0712697877657623
3417,MEL_Z01,0.025660775414771783
3418,MEL_Z01,0.09486373149122462
3419,MEL_Z01,0.2837848207162064
3420,MEL_Z01,0.21574337664990637
3421,MEL_Z01,0.046937406417387265
3422,MEL_Z01,0.06132519064940876
3434,MEL_Z11,0.03621370777977897
3435,MEL_Z11,0.05926801605841066
3436,MEL_Z11,0.41953764186452036
3437,MEL_Z11,0.018026314737150075
3438,MEL_Z11,0.006029806580132878
3439,MEL_Z11,0.009315192723365992
3440,MEL_Z11,0.0144917335495416
