cell_id,zone_id,elevation,slope,distance_to_river_m,pre2021_landslide_pct,distance_to_old_landslide_m,event_impact_pct,impacted_2021
5343,MEL_Z02,4320.0,39.8534,1563.4697376807155,1.272788424648598,24.03827569804444,5.0063988425245824,1
5344,MEL_Z02,4207.0,36.79247,1639.985647815855,0.3763430161018961,158.0000969333978,5.880210431366212,1
5345,MEL_Z02,4084.0,35.842884,1749.1907355804774,46.874658220703424,8.194215446619815,43.686438061041386,1
5346,MEL_Z02,4117.0,36.39523,1852.8035169653633,3.2407010372421197,79.29522362105304,11.579587041950388,1
5347,MEL_Z01,4181.0,29.502869,1815.7434091250616,35.16198728802016,0.0,28.468515085560682,1
5348,MEL_Z01,4340.0,39.337154,1599.7755410752623,45.699796199651956,21.648408882248365,34.63081162843116,1
5349,MEL_Z01,4491.0,37.12087,1383.4973603719227,31.85222540537086,0.0,24.092371031248838,1
5350,MEL_Z01,4712.0,50.13245,1175.632618527488,25.13897927526966,12.422586839343316,12.330818130861438,1
5351,MEL_Z01,4807.0,37.77168,983.8170567166369,18.992690538881483,20.478017842435356,6.3504378674387585,1
5352,MEL_Z01,4932.0,30.266615,783.4813879467303,15.880127924877149,29.651463101477695,7.918602257920542,1
5353,MEL_Z01,4868.0,13.519692,562.5703217377378,1.3166685672570404,113.0396110872195,0.0,0
5354,MEL_Z01,4959.0,34.42233,352.1785915222668,10.561111185022495,9.222982177654291,0.8116824937776715,0
5355,MEL_Z01,4923.0,34.132347,132.90653152930446,0.9557648790864974,91.64693890242103,0.0,0
5356,MEL_Z01,4927.0,26.504463,76.80081535848149,0.8120345633100492,108.61711365799599,0.0,0
5357,MEL_Z01,4989.0,13.91581,311.0499151059994,7.60686867682929,4.8561106131566945,0.0,0
5358,MEL_Z01,5048.0,6.1829305,529.865969371368,1.431340903255412,110.7540325772612,0.0,0
5359,MEL_Z01,5118.0,27.463106,742.4576781422252,0.0,345.7632148941282,0.0,0
5360,MEL_Z01,5253.0,59.93446,969.784853978291,0.0,592.7845409402177,0.0,0
5361,MEL_Z01,5466.0,14.710078,1205.4121881774413,0.0,837.8032120196897,0.0,0
5362,MEL_Z01,5554.0,19.33555,1446.1395040259874,0.0,1047.8091739679905,0.0,0
5365,MEL_Z11,1742.0,20.766205,2827.8542203166253,0.0,399.33094750391587,0.0,0
5366,MEL_Z11,1630.0,21.818552,2668.346539846096,0.0,188.01407099838445,0.0,0
5367,MEL_Z11,1520.0,26.539568,2514.7430117776603,0.0,160.73161881449715,0.0,0
5368,MEL_Z11,1454.0,24.686216,2336.379912157221,0.0,369.1822299539191,0.0,0
5369,MEL_Z11,1446.0,21.406227,2172.079491859955,0.0,609.6098368890922,0.0,0
5370,MEL_Z11,1451.0,8.001043,2023.847039589488,0.0,790.3842043789481,0.0,0
5371,MEL_Z11,1378.0,30.710716,1844.3354874456932,0.0,744.3406027342156,0.0,0
5372,MEL_Z11,1297.0,21.07272,1642.4398005333146,0.0,525.5509517844511,0.0,0
5373,MEL_Z11,1227.0,23.601683,1455.556115888455,0.0,348.367349273597,0.0,0
5374,MEL_Z11,1296.0,21.458925,1290.2242884958634,0.0,289.1982939408229,0.0,0
5375,MEL_Z11,1254.0,19.689674,1155.3123678179636,6.525360497434648,71.45574170709696,0.0,0
5376,MEL_Z11,1238.0,21.760624,1061.5171331353913,0.0384462835747546,153.41110826690831,0.0,0
5377,MEL_Z11,1291.0,26.565052,932.4641816574589,0.0,313.41429691626433,0.0,0
5378,MEL_Z11,1300.0,27.253843,766.700972718843,0.0,344.31380339671193,0.0,0
5379,MEL_Z11,1282.0,22.309656,650.0504376301805,0.0,365.2182267595487,0.0,0
5380,MEL_Z11,1220.0,34.74021,597.2551584178036,0.0,486.4994289116582,0.0,0
5381,MEL_Z11,1228.0,19.97522,573.9267337042922,0.0,681.8937127627369,0.0,0
5382,MEL_Z11,1140.0,26.870941,484.29788913430457,0.0,601.6612875605227,0.0,0
5383,MEL_Z10,1043.0,19.593258,313.4299638349283,0.0,372.11420244157677,0.0,0
